;1;2;3;4;5;6
400;566,938;566,938;566,938;566,938;566,938;566,938
1510;3147,268;3147,268;3147,268;3147,268;3147,268;3147,268
2620;4986,880;4986,880;4986,880;4986,880;4986,880;4986,880
3730;7375,769;7375,769;7375,769;7375,769;7375,769;7375,769
4840;9365,058;9365,058;9365,058;9365,058;9365,058;9365,058
5950;11440,207;11440,207;11440,207;11440,207;11440,207;11440,207
7060;13472,166;13472,166;13472,166;13472,166;13472,166;13472,166
8170;15797,288;15797,288;15797,288;15797,288;15797,288;15797,288
9280;17985,464;17985,464;17985,464;17985,464;17985,464;17985,464
10390;19518,157;19518,157;19518,157;19518,157;19518,157;19518,157
11500;21878,872;21878,872;21878,872;21878,872;21878,872;21878,872
