;2400;2410;2420;2430;2440;2450;2460;2470;2480;2490;2500;2510;2520
seq;118468;118222;119243;120957;121248;122379;122898;124216;123854;126105;127068;127333;127988
;;;;;;;;;;;;;
omp;120741;124063;119190;117055;119249;122194;115855;116489;121388;121313;118422;119687;
generate;;;;;;;;;;;;;
map;;;;;;;;;;;;;
merge;;;;;;;;;;;;;
sort;;;;;;;;;;;;;
reduce;;;;;;;;;;;;;
;0,98117458;0,952919081;1,000444668;1,033334757;1,016763243;1,001513986;1,060791507;1,066332443;1,020315023;1,039501125;1,073010083;1,063883296;
pthreads;;;;;;;;;;;;;
generate;;;;;;;;;;;;;
map;;;;;;;;;;;;;
merge;;;;;;;;;;;;;
sort;;;;;;;;;;;;;
reduce;;;;;;;;;;;;;
;;;;;;;;;;;;;
seq;;;;;;;;;;;;;
omp;;;;;;;;;;;;;
pthreads;;;;;;;;;;;;;
